Date,iv_call,skewness_call,iv_put,skewness_put,RSI,K,D,KDminus,macd,macd_signal,macd_hist,ma5,ma20,returns,returns_
2018-11-02,0.020449121,-0.017181798,0.059434849000000005,-0.00292983,45.00943655475641,98.23347970033224,74.82311650428893,23.410363196043306,-242.6615986283814,-267.97736601118964,25.315767382808247,9719.178125200002,9907.04453130001,0.006262850341494812,1.0
2018-11-05,0.087384669,-0.025898504,0.026884073999999997,-0.019472531,44.317688857774684,96.9171620071644,90.09499061207514,6.822171395089271,-219.11863648060717,-258.20562010507314,39.08698362446597,9793.8759766,9875.679003950008,-0.0016952858616300591,0.0
2018-11-06,0.052586241,-0.01148993,0.018837038,-0.00385963,41.620486269033066,90.11878133964917,95.08980768238195,-4.97102634273277,-203.35018452459371,-247.23453298897726,43.88434846438355,9853.6439452,9844.13002930001,-0.006579802115133003,0.0
2018-11-07,0.053469567,-0.002573594,0.058146168,-0.026488676000000003,46.212436146885935,89.29865697844112,92.11153344175158,-2.8128764633104595,-182.02565854738168,-234.19275810065815,52.16709955327647,9874.887890399998,9816.20600585001,0.008452708000160096,1.0
2018-11-08,0.029013812000000003,-0.021460836,0.033764431,-0.007993059,48.18289284464564,80.66644004615601,86.69462612141545,-6.028186075259441,-160.29566941369558,-219.41334036326563,59.117670949570055,9895.0017576,9823.16596675001,0.0037232434951504473,0.0
2018-11-09,0.07628657700000001,-0.015810558,0.092226609,-0.00352449,42.84171002162902,62.685233676898456,77.55011023383189,-14.864876556933432,-150.64172303928535,-205.6590168984696,55.017293859184235,9879.685741999998,9812.37597655001,-0.011661112378691184,0.0
2018-11-12,0.056651834000000005,-0.001895339,0.099484425,-0.010753902,42.913570360266206,39.073450321494306,60.808374681516284,-21.734924360021978,-141.26563299621012,-192.7803401180177,51.51470712180759,9867.9658202,9808.880468750009,0.0001220875427014822,1.0
2018-11-13,0.022930539,-0.001326965,0.082735001,-0.002180651,40.359858707713585,29.053436914739923,43.604040304377584,-14.550603389637661,-136.72681813059535,-181.56963572053323,44.84281758993788,9858.14375,9798.617480500008,-0.005647995465115841,0.0
2018-11-14,0.021591392,-0.020144724,0.01334981,-0.016470628,41.46074618400695,36.973506842219585,35.033464692817965,1.94004214940162,-130.33307894949394,-171.32232436632538,40.98924541683144,9834.8498048,9789.254492250007,0.0016394391187559377,1.0
2018-11-15,0.056250492,-0.052115819,0.06379680900000001,-0.0072185009999999996,43.89633843253422,51.0090317404412,39.011991832466926,11.997039907974276,-121.07993714151416,-161.27384692136314,40.19390977984898,9811.079883000002,9782.890966850007,0.00352528441115151,1.0
2018-11-16,0.054512118,-0.023062252999999998,0.028871797999999997,-0.007571626,42.26694295143807,60.86897243328667,49.61717033864918,11.25180209463749,-114.79341158664101,-151.9777598544187,37.18434826777769,9804.495898600002,9776.782470750008,-0.0029933563725201033,0.0
2018-11-19,0.034904633,-0.013847671,0.057966492,0.29197948,44.67729053448917,76.29116229046711,62.72305548806503,13.568106802402085,-106.03903955833084,-142.79001579520113,36.75097623687029,9803.991992400002,9769.502978600005,0.003220316631302614,1.0
2018-11-20,0.090454254,-0.001530881,0.018737833,-0.052142676,39.8166083771958,57.957097331993104,65.03907735191567,-7.081980019922561,-104.7284897634072,-135.17771058884233,30.449220825435134,9797.6220704,9767.942480550006,-0.008654994804936074,0.0
2018-11-21,0.055855153,-0.04324679,0.068983134,-0.004924604,39.67923632409195,51.34414486783305,61.86413483009779,-10.519989962264738,-102.70531179002319,-128.6832308290785,25.97791903905531,9787.55,9767.048437550005,-0.0002535938800718082,1.0
2018-11-22,0.046892852,-0.044402492,0.08523455199999999,-0.010737955,38.12229918784732,33.74247749709276,47.68123989897301,-13.938762401880254,-102.08842509532042,-123.36426968232688,21.27584458700646,9765.2,9776.744433650005,-0.002755887206105677,0.0
2018-11-23,0.065171294,-0.009458514,0.065998939,-0.007828246,35.4396304170497,34.84336849645912,39.97666362046168,-5.133295124002558,-104.22371519952321,-119.53615878576615,15.312443586242935,9739.2419922,9785.650439500005,-0.004892191380571263,0.0
2018-11-26,0.047848605,-0.027606347000000003,0.048272445,-0.004358445,44.28597744293213,38.84630984256139,35.81071861203779,3.0355912305236004,-96.88643486293586,-115.00621400120009,18.119779138264235,9726.575976600001,9798.102441450003,0.010092429811828627,1.0
2018-11-27,0.017744599,-0.770640515,0.017413176000000002,-0.034921107,45.389806335203026,48.990133008072156,40.89327044903092,8.096862559041234,-88.9759754554907,-109.80016629205821,20.82419083656751,9733.5019532,9810.727929700004,0.0013569157066591305,0.0
2018-11-28,0.048041963,-0.046992615,0.083295139,-0.020461574,53.41519237110727,75.69021946815246,54.50888743959538,21.181332028557087,-73.33328336754312,-102.50678970715519,29.173506339612075,9762.059961,9814.836914050005,0.01075022619057602,1.0
2018-11-29,0.015418013999999999,-0.088273329,0.09997657300000001,-0.006565896,53.48932585070825,77.21675469676342,67.29903572432939,9.917718972434031,-60.158082929778175,-94.03704835167979,33.87896542190161,9796.1900392,9816.867919950006,0.00010630243247721649,0.0
2018-11-30,0.047913990999999996,-0.012993591,0.0068510459999999995,0.42594083200000005,53.693586904390045,76.09111615343244,76.33269677278281,-0.24158061935037267,-48.937085094721624,-85.01705570028815,36.07997060556653,9840.3361328,9815.939941400005,0.0002700519164224916,0.0
2018-12-03,0.08766683300000001,-0.033599729,0.06978442,-0.032809669,68.02742279451638,76.23220588967233,76.51335891328944,-0.28115302361710803,-19.657773479282696,-71.94519925608707,52.28742577680437,9914.838085799998,9828.342968750007,0.02495296616635323,1.0
2018-12-04,0.031416182,-0.043724842,0.024884785,-0.057687799000000005,63.373729660322084,81.72825557202553,78.01719253837682,3.7110630336487134,-0.8281449773930945,-57.721788400348274,56.89364342295518,9975.8220702,9841.272460950006,-0.005373533132646135,0.0
2018-12-05,0.025042323,-0.019178711,0.009998211,-0.051830232999999996,51.56036791796763,64.1535402286188,74.03800056343893,-9.884460334820133,0.6278831648560299,-46.05185408730741,46.67973725216344,9982.308202999999,9841.691992200005,-0.016680133483527513,0.0
2018-12-06,0.027555318999999998,-0.093266265,0.050872637000000005,-0.013575473000000001,40.19148727175889,32.98391302742767,59.6219029426907,-26.637989915263034,-16.747267802498754,-40.19093683034568,23.443669027846923,9942.180078,9828.662500050004,-0.02367490428496012,0.0
2018-12-07,0.0052592590000000005,-0.07969722900000001,0.020170826,-0.003755763,44.56822478195054,11.967128598676515,36.36819395157436,-24.401065352897845,-24.093971725042138,-36.97154380928497,12.877572084242829,9916.75,9825.206005900003,0.007833190742606187,1.0
2018-12-10,0.037894727999999996,-0.042423935,0.09349941,-0.04633102099999999,39.83559869449189,9.401794284929482,18.117611970344594,-8.715817685415113,-38.61671623728944,-37.30057829488586,-1.3161379424035786,9818.6839844,9816.022509800003,-0.01167958369290429,0.0
2018-12-11,0.034801314,-0.018759725,0.018236053999999998,-0.066937734,43.28465550588487,15.799532607813434,12.389485163806514,3.4100474440069206,-44.80841958748715,-38.80214655340612,-6.006273034081033,9743.3839844,9812.582519550002,0.006148434861537997,1.0
2018-12-12,0.028247336,2.572799822,0.010224526,-0.016622549,49.13412524439998,37.499183281118015,20.90017005795368,16.599013223164334,-40.42095626826813,-39.12590849637852,-1.2950477718896067,9723.325976600001,9813.811035150004,0.01120817026631169,1.0
2018-12-13,0.066043196,-0.011825756000000002,0.076299769,-0.015499053999999998,51.25500244069994,67.63420476947687,40.31097355280281,27.32323121667406,-33.147724855565684,-37.93027176821595,4.782546912650268,9758.1339844,9815.426025400004,0.004300806578461092,0.0
2018-12-14,0.081667193,-0.04608185099999999,0.028328642,-0.010070831,46.98194891145575,79.91495004226874,61.68277936428791,18.232170677980832,-33.82025916349812,-37.10826924727239,3.2880100837742674,9760.790039,9814.279541000004,-0.008618191686137686,0.0
2018-12-17,0.032344826,-0.064019402,0.038033126,-0.0050073190000000005,47.73319706631695,71.54189302455114,73.03034927876563,-1.4884562542144835,-32.89519540859146,-36.2656544795362,3.37045907094474,9788.788085799999,9812.221533150005,0.001366969703409239,1.0
2018-12-18,0.02477338,-0.009802481,0.050064592000000005,-0.036186313,44.22038266621966,43.458069725471084,64.97163759743036,-21.513567871959275,-37.27669274695836,-36.46786213302063,-0.8088306139377295,9791.1441406,9810.963037100006,-0.007044910207486264,0.0
2018-12-19,0.010535133,-0.053826162000000004,0.021107081,-0.045451787,48.12332161470664,39.42325914283574,51.474407297619365,-12.051148154783625,-35.148188054829006,-36.20392731738231,1.0557392625533026,9784.4960938,9813.047558600005,0.006603402935045693,1.0
2018-12-20,0.010790743,-4.135721965,0.06830223,-0.006122597,42.630444253371365,22.64745751544841,35.176262127918456,-12.528804612470047,-41.75046867433048,-37.313235588771946,-4.437233085558532,9747.648046799999,9811.038037100003,-0.011172070262367136,0.0
2018-12-21,0.039233512000000005,-0.003971683,0.080241887,-0.010662883,42.77142892485196,31.795838269612062,31.288851642632114,0.5069866269799483,-46.27586567622711,-39.10576160626298,-7.1701040699641325,9728.15,9811.506542950005,0.0002222489748316093,1.0
2018-12-24,0.089609625,-0.023110167999999997,0.067230976,-0.016575485,40.88694497735011,24.936807150358778,26.460034311806464,-1.5232271614476858,-52.243196356615954,-41.73324855633358,-10.509947800282376,9698.5839844,9805.223535100005,-0.0038278177438803517,0.0
